prof_id,course_code,date,quality,difficulty,for_credit,attendance,would_take_again,grade,textbook,comment,thumbs_up,thumbs_down
3042902.0,mus206,"Jun 30th, 2025",5.0,2.0,Yes,Not Mandatory,Yes,A+,N/A,one of the best professor in utsg.,0,0
3042902.0,mus206,"May 19th, 2025",5.0,1.0,Yes,Not Mandatory,Yes,A+,N/A,"Prof. was very nice, even gave away extra tickets to an opera! Her lectures were very engaging which motivated me to do well in the course. Minimal work. We only had 2 in class online quizzes on quercus and 3 assignments consisting of 3 sentence answers to some questions. The final was a project, I chose the essay: 500 word essay on an opera scene.",0,0
3042902.0,mus206,"Jan 8th, 2025",5.0,3.0,Yes,Not Mandatory,Yes,A,N/A,Best prof in UofT,0,0
3042902.0,mus206,"Dec 20th, 2024",5.0,4.0,Yes,Not Mandatory,Yes,Incomplete,N/A,"She is very enthusiastic about her class and is open to all sorts of questions, her markings are pretty weird and inconsistent but she does allow you to do assignments again for a better grade. She is very involved and overall was a cool course to take. Would recommend and take again.",0,0
2227812.0,MAT137,"Jun 29th, 2025",5.0,3.0,Yes,Not Mandatory,Yes,A,N/A,"Although his classes were not following the rubric to the hilt, it made sense because there is an easier alternative to the course. I took the course to have a bit of fun and to see if math is for me, and I assume it was the same for my peers as well. The professor understood that. He did some fun questions and pointed out interesting math things.",0,0
2227812.0,MAT135,"Jan 8th, 2025",3.0,4.0,Yes,Not Mandatory,,B,Yes,"he knows what he's doing but seems a bit heartless sometimes. he also makes a big deal when students don't know ""basics"" from high school like trig. expects people to participate in class.",0,0
2227812.0,MAT137,"Nov 15th, 2024",5.0,1.0,Yes,Not Mandatory,Yes,A+,N/A,"Ali is a very good, and talented professor. After attending his lectures I was very comfortable  on the material and was able to learn very well. very good prof would recommend again.",0,0
2227812.0,MAT137,"Apr 21st, 2024",5.0,3.0,Yes,Not Mandatory,Yes,A-,Yes,Favourite professor at UofT. Pushes students to understand concepts beyond the surface level and is very humorous and engaging. Just make sure you pay attention during his lectures or you might miss out on some of the spontaneous insights that he makes.,0,0
2227812.0,MAT102H5,"Mar 11th, 2024",1.0,5.0,Yes,Not Mandatory,,B+,Yes,This Professor was the worse professor I had in first year. The examples he went over in class had nothing to  do with any of questions I saw on test and quizzes. I survived off the textbooks. He also kind of ignored my question and he was rude overall.,0,0
2227812.0,MAT137,"Feb 21st, 2024",1.0,5.0,Yes,Not Mandatory,,Drop/Withdrawal,Yes,,0,1
2227812.0,MAT102H5,"Jan 8th, 2024",2.0,3.0,Yes,Not Mandatory,,A,Yes,"Garbage lectures. I came our of lectures where I already knew the topic with *less* understanding than i came in with. He just throws a textbook at you and its up to you to figure it out. Heard he's good in other courses, but for mat102? don't bother. if you do end up taking his mat102, go to Liying He's tutorial section to survive.",2,0
